cdcid,DateFirstIll,EstimatedPrimary,DeathsInfo,HospitalInfo,CAFC_1,States,Ingredients,FoodNames,IFSACLevel,TaxonomyConfirmation
296902,2020-03-20,5,5.0,5.0,,['washington'],[],[],[],confirmed
296903,2020-07-27,8,8.0,8.0,,['washington'],[],[],[],suspected
296905,2020-08-01,2,2.0,2.0,,['texas'],[],[],[],
296906,2020-10-12,2,2.0,2.0,,['texas'],[],[],[],
296907,2020-11-09,4,4.0,4.0,,['texas'],[],[],[],suspected
296909,2020-11-23,2,2.0,2.0,,['texas'],[],[],[],
296951,2021-01-23,8,8.0,8.0,,['nebraska'],[],[],[],suspected
296952,2020-11-13,99,99.0,99.0,Pork,"['alabama', 'arkansas', 'florida', 'georgia', 'illinois', 'indiana', 'kentucky', 'louisiana', 'maryland', 'michigan', 'mississippi', 'missouri', 'north', 'carolina', 'ohio', 'south', 'carolina', 'tennessee', 'texas', 'virginia', 'west', 'virginia']","['sausage', 'pork']","['meat', 'chili']","['land', 'animals', 'meat', 'poultry', 'meat', 'pork', 'rte', 'pork', 'fully', 'cooked', 'sausage', 'products']",confirmed
296953,2021-01-21,7,0.0,0.0,,['tennessee'],[],[],[],suspected
296955,2021-01-23,4,4.0,4.0,,['tennessee'],[],[],[],suspected
296956,2021-01-22,3,3.0,3.0,,['utah'],[],[],[],confirmed
296957,2020-01-25,9,9.0,9.0,,['illinois'],[],[],[],suspected
296958,2020-02-13,4,4.0,4.0,,['illinois'],[],[],[],suspected
296964,2020-10-18,3,3.0,3.0,,['michigan'],[],[],[],
296965,2020-08-19,4,4.0,4.0,,['michigan'],[],[],[],
296966,2020-10-12,30,27.0,27.0,,"['alabama', 'michigan']",[],[],[],confirmed
296967,2019-06-19,13,9.0,9.0,,"['california', 'colorado', 'kansas', 'nevada', 'pennsylvania', 'utah']",[],[],[],confirmed
296968,2018-07-25,11,10.0,10.0,,"['illinois', 'tennessee']",[],[],[],confirmed
296969,2021-01-19,54,43.0,43.0,Dairy,"['maine', 'massachusetts', 'new', 'hampshire']","['milk', 'unpasteurized']","['raw', 'milk']","['land', 'animals', 'dairy', 'fluid', 'milk', 'unpasteurized']",confirmed
296979,2020-01-27,8,8.0,8.0,,"['north', 'dakota']",[],[],[],suspected
296980,2020-11-09,36,28.0,28.0,,"['maine', 'massachusetts', 'new', 'hampshire', 'new', 'jersey', 'new', 'york', 'pennsylvania', 'rhode', 'island', 'virginia']",[],[],[],confirmed
296982,2020-12-10,2,2.0,2.0,,['colorado'],[],[],[],
296983,2020-01-04,2,2.0,2.0,Multiple,['colorado'],[],"['sausage', 'platter', 'potatos', 'with', 'ducks', 'fat', 'spam', 'grilled', 'cheese', 'sandwhich']",['multiple'],
296986,2020-01-02,2,2.0,2.0,Grains-Beans,['colorado'],[],"['white', 'rice']","['plant', 'grains', 'beans', 'grains']",
296991,2020-02-17,36,36.0,36.0,,"['illinois', 'new', 'jersey']",[],[],[],confirmed
296992,2020-07-07,5,5.0,5.0,,['illinois'],[],[],[],confirmed
296993,2020-06-14,18,18.0,17.0,Multiple,"['illinois', 'minnesota', 'ohio', 'texas', 'wisconsin']",[],"['carrots', 'celery']","['multiple', 'produce', 'vegetables']",confirmed
296994,2020-11-11,12,12.0,12.0,Beef,"['tennessee', 'virginia']","['ground', 'beef']","['ground', 'beef']","['land', 'animals', 'meat', 'poultry', 'meat', 'beef', 'non', 'intact', 'raw', 'ground']",confirmed
296996,2020-05-28,2,2.0,2.0,Fish,['washington'],['fish'],"['fish', 'salmon']","['aquatic', 'animals', 'fish']",confirmed
296999,2020-09-28,4,4.0,4.0,Chicken,['washington'],['chicken'],['chicken'],"['land', 'animals', 'meat', 'poultry', 'poultry', 'chicken']",suspected
297000,2020-10-28,2,2.0,2.0,Multiple,"['arizona', 'colorado']","['carrots', 'oil', 'onion', 'oregano', 'pepper', 'chili', 'tomato', 'vinegar']","['green', 'chile']",['multiple'],confirmed
297003,2020-03-02,2,0.0,0.0,,['colorado'],[],[],[],suspected
297004,2020-02-07,2,0.0,0.0,,"['colorado', 'hawaii']",[],[],[],suspected
297005,2020-09-19,33,33.0,33.0,Pork,"['colorado', 'georgia', 'kansas', 'wisconsin']",['pork'],"['pulled', 'pork']","['land', 'animals', 'meat', 'poultry', 'meat', 'pork']",
297009,2020-08-20,4,3.0,3.0,,['michigan'],[],[],[],confirmed
297010,2017-04-17,8,7.0,7.0,,"['california', 'nevada', 'texas']",[],[],[],confirmed
297011,2020-02-20,2,0.0,0.0,,['colorado'],[],[],[],suspected
297014,2020-02-26,3,3.0,0.0,,['colorado'],[],[],[],
297015,2020-12-25,3,3.0,3.0,,['colorado'],[],[],[],confirmed
297016,2020-02-06,2,2.0,0.0,,['colorado'],[],[],[],
